"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","N_sd","N_naive_se","seed"
"11343",227,50,50.0856444444444,50,0.5,49,50,51,0.308545747070535,0.00145449860039896,2137476
"11344",227,50,50.0586,50,0.5,62,50,51,0.25993757231482,0.00122535746712652,9933878
"11345",227,50,50.0106888888889,50,0.5,55,50,50,0.115265098359038,0.000543364884558735,3447459
"11346",227,50,50.4322888888889,50,0.5,56,50,52,0.719292887752391,0.00339077919059313,5353935
"11347",227,50,50.0280222222222,50,0.5,48,50,51,0.178990751807461,0.000843770495818228,3507256
"11348",227,50,50.0812444444444,50,0.5,55,50,51,0.301811619000421,0.00142275361624059,7949629
"11349",227,50,50.1734,50,0.5,56,50,51,0.441818338823763,0.00208275162289906,3325523
"11350",227,50,49.3931555555556,49,0.5,57,49,51,0.666245463509738,0.00314071123455007,5092106
"11351",228,50,50.0437777777778,50,0.5,50,50,51,0.219079172571705,0.0010327491236146,9389161
"11352",228,50,50.1676666666667,50,0.5,56,50,51,0.443174192072611,0.00208914317640942,422046
"11353",228,50,49.2246,49,0.5,60,49,51,0.519727234366433,0.00245001767858556,3276135
"11354",228,50,50.1855777777778,50,0.5,55,50,51,0.470872988280489,0.00221971655393805,7640347
"11355",228,50,50.0170888888889,50,0.5,56,50,50,0.140465762936106,0.000662161956644416,1493245
"11356",228,50,49.4772444444444,49,0.5,58,49,51,0.777221581225178,0.00366385767045903,3521211
"11357",228,50,50.0284,50,0.5,54,50,51,0.177872391123994,0.000838498492997615,6302552
"11358",228,50,50.0075333333333,50,0.5,48,50,50,0.0869806831223317,0.000410030872453594,4665506
"11359",228,50,50.3714666666667,50,0.5,52,50,52,0.663174235528001,0.00312623332700036,717401
"11360",228,50,50.0052444444444,50,0.5,55,50,50,0.0781406733008468,0.000368358666516742,3640003
"11361",228,50,50.0036,50,0.5,57,50,50,0.0606301127989454,0.000285813092694931,7242380
"11362",228,50,50.1004888888889,50,0.5,56,50,51,0.35601860106488,0.00167828778027683,7981677
"11363",228,50,50.0109555555556,50,0.5,56,50,50,0.131116242114482,0.000618087892818983,3897627
"11364",228,50,50.0187111111111,50,0.5,58,50,50,0.159183373209833,0.000750397617658815,6964565
"11365",228,50,50.0061333333333,50,0.5,44,50,50,0.0800435446726126,0.000377328888188085,3678945
"11366",228,50,50.0248888888889,50,0.5,60,50,50,0.16720927694803,0.000788232090715012,931008
"11367",228,50,50.0649333333333,50,0.5,60,50,51,0.268590433387214,0.00126614744539955,7604404
"11368",228,50,50.0394444444444,50,0.5,52,50,51,0.206614445049497,0.000973989834570629,8240421
"11369",228,50,50.0124666666667,50,0.5,53,50,50,0.115664224586405,0.000545246383638207,4122887
"11370",228,50,50.0304666666667,50,0.5,58,50,51,0.18887184794487,0.000890350429713678,9857621
"11371",228,50,50.4088666666667,50,0.5,54,50,52,0.706710087331865,0.00333146330056866,3948307
"11372",228,50,50.0061555555556,50,0.5,50,50,50,0.0807329519562479,0.000380578785289804,6159543
"11373",228,50,50.0221333333333,50,0.5,51,50,50,0.166798815732868,0.000786297157990643,4609669
"11374",228,50,49.1869555555556,49,0.5,56,49,51,0.482686369239723,0.00227540536583814,4418721
"11375",228,50,50.5101111111111,50,0.5,52,50,53,0.803382361818715,0.00378718077285118,214238
"11376",228,50,50.0820888888889,50,0.5,55,50,51,0.314990753431102,0.00148488065174795,6762039
"11377",228,50,50.2831777777778,50,0.5,55,50,52,0.591059593333507,0.00278628164354324,6791763
"11378",228,50,50.3400444444444,50,0.5,61,50,52,0.644033378881427,0.00303600246345028,6686753
"11379",228,50,50.066,50,0.5,52,50,51,0.270803468487493,0.00127657979290896,272032
"11380",228,50,50.0733111111111,50,0.5,54,50,51,0.284848021187113,0.00134278644925984,7184214
"11381",228,50,48.7289777777778,48,0.5,57,48,51,0.969897516682054,0.00457214074067915,6902897
"11382",228,50,50.0577555555556,50,0.5,59,50,51,0.249129835707593,0.00117440930816486,3056298
"11383",228,50,50.0016,50,0.5,49,50,50,0.0399684312858979,0.00018841299197098,4636233
"11384",228,50,50.0020444444444,50,0.5,56,50,50,0.0451697911394435,0.000212932437463204,7903020
"11385",228,50,50.0550888888889,50,0.5,54,50,51,0.260448437116227,0.00122776570689548,9305733
"11386",228,50,50.0171111111111,50,0.5,58,50,50,0.141015706759054,0.000664754416687605,5479752
"11387",228,50,50.1098222222222,50,0.5,55,50,51,0.349646832315922,0.00164825097433989,1486573
"11388",228,50,50.0837333333333,50,0.5,55,50,51,0.306252858156754,0.00144368981840268,5303893
"11389",228,50,50.0481333333333,50,0.5,63,50,51,0.241467803545094,0.00113829014216638,9289488
"11390",228,50,50.0047333333333,50,0.5,55,50,50,0.0686369694736297,0.000323557777032651,5069270
"11391",228,50,50.0005777777778,50,0.5,54,50,50,0.0240303304802543,0.000113280064244944,2053352
"11392",228,50,50.0108666666667,50,0.5,59,50,50,0.108289522076555,0.000510481702611883,8790274
"11393",228,50,50.2615333333333,50,0.5,58,50,52,0.579297463131004,0.00273083443002732,2489068
"11394",228,50,50.0625333333333,50,0.5,49,50,51,0.278572105264521,0.0013132014978797,1898591
"11395",228,50,50.0154,50,0.5,56,50,50,0.125816765342695,0.000593105919738507,5387766
"11396",228,50,50.1492888888889,50,0.5,55,50,51,0.420297616630327,0.00198130196557232,8265826
"11397",228,50,50.0090666666667,50,0.5,51,50,50,0.100919217935111,0.000475737755693067,9841761
"11398",228,50,50.1899333333333,50,0.5,56,50,52,0.497591697802698,0.00234566975852277,1292332
"11399",228,50,50.1764222222222,50,0.5,57,50,51,0.454180342486728,0.00214102666702663,9295623
"11400",228,50,50.0598888888889,50,0.5,55,50,51,0.253931921141825,0.00119704655599408,9463004
"11401",229,50,50.1956444444444,50,0.5,81,50,51,0.483362756590984,0.00227859388639005,5464398
"11402",229,50,50.0479333333333,50,0.5,63,50,51,0.225765796553021,0.00106427017135082,7959391
"11403",229,50,50.1425333333333,50,0.5,68,50,51,0.397881878339375,0.00187563316190009,6230794
"11404",229,50,50.1322222222222,50,0.5,70,50,51,0.390880219366032,0.00184262702496938,4541634
