"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"922",962,500,343.16,318.88,0.45,64,5,343.915523111111,18.7769068415127,-0.312168953777778,0.886061423762213,-0.952811108280983,5,7,0.00417693360860045,0,2.96,0.990423254554928,0.0104150578695866,0.1,1,2
"923",963,500,340.68,319.94,0.45,64,5,341.440516444444,19.5821514212741,-0.317118967111111,0.889993571502793,-0.954550776758068,5,7,0.00419546993081373,0,2.98,0.990516163726325,0.0103525384914144,0.1,1,3
"924",964,500,341,320,0.45,64,5,341.744355111111,21.3293166183468,-0.316511289777778,0.879597693241933,-0.958761093523018,5,7,0.00414646329071611,0,2.92,0.990389887717718,0.0104754261634265,0.1,1,4
"925",965,500,340.24,319.06,0.45,64,5,340.987973777778,21.2700042870747,-0.318024052444444,0.882283913200999,-0.95851980557723,5,7,0.00415912625304153,0,2.98,0.990437090422202,0.0104268692210993,0.1,2,1
"926",966,500,337.26,319.98,0.45,64,5,338.042179555556,24.7255121655086,-0.323915640888889,0.902726325241179,-0.963490085900002,5,7,0.00425549270755767,0,2.96,0.990602281769626,0.0103185304646262,0.1,2,2
"927",967,500,338.82,320,0.45,64,5,339.584787111111,20.7857590630131,-0.320830425777778,0.891962767523294,-0.957087794349041,5,7,0.00420475280987761,0,2.98,0.990481786215534,0.0103886965517009,0.1,2,3
"928",968,500,342.66,320,0.45,64,5,343.410504444444,19.9853270207833,-0.313178991111111,0.884426082374162,-0.955746229148294,5,7,0.00416922453536681,0,2.98,0.990422994647131,0.0104389430180804,0.1,2,4
"929",969,500,335.72,319.9,0.45,64,5,336.493388888889,22.7112380543068,-0.327013222222222,0.897760732527927,-0.960470638792072,5,7,0.00423208467902333,0,2.94,0.990506953464141,0.0103844638115668,0.1,3,1
"930",970,500,341.04,320,0.45,64,5,341.791548,19.8424484148237,-0.316416904,0.884561595823763,-0.955420743583089,5,7,0.00416986335189451,0,3,0.990478621554444,0.0103900211314077,0.1,3,2
"931",971,500,341,320,0.45,64,5,341.753966666667,20.9427024109277,-0.316492066666667,0.885747569807326,-0.957706147352543,5,7,0.00417545408686843,0,2.96,0.990457497074833,0.0103952371090373,0.1,3,3
"932",972,500,337.42,320,0.45,64,5,338.186344888889,23.6632511104216,-0.323627310222222,0.893435857039107,-0.962243740183037,5,7,0.00421169702045045,0,2.98,0.990426530160407,0.0104374743377003,0.1,3,4
"933",973,500,338.78,320,0.45,64,5,339.544098666667,22.999262290356,-0.320911802666667,0.891138850601318,-0.961253589817314,5,7,0.00420086882825985,0,3,0.990515620078274,0.0103948005926061,0.1,4,1
"934",974,500,335.98,320,0.45,64,5,336.753340444444,20.143159342907,-0.326493319111111,0.896942751380515,-0.955471595288931,5,7,0.00422822867891521,0,2.96,0.990528396979501,0.0103654406691592,0.1,4,2
"935",975,500,343.2,320,0.45,64,5,343.956501333333,23.3089114183368,-0.312086997333333,0.886583386901564,-0.961963758367364,5,7,0.00417939416643622,0,2.96,0.990461168144441,0.0104345165259774,0.1,4,3
"936",976,500,341.5,320,0.45,64,5,342.267594666667,23.3886333496848,-0.315464810666667,0.893733762754762,-0.961787687660391,5,7,0.00421310136146174,0,3,0.990443458998586,0.0104435906156202,0.1,4,4
"937",977,500,458.18,306.04,0.45,64,5,458.359765333333,18.8657713934452,-0.0832804693333333,0.424874727681703,-0.977479069431037,5,7,0.00200287867399013,0,1.08,0.989340117281098,0.0111077107182196,0.25,1,1
"938",978,500,458.54,319.14,0.45,64,5,458.721554222222,17.6574598570166,-0.0825568915555557,0.42595367259006,-0.975876843213052,5,7,0.00200796486906497,0,1.1,0.989370457039063,0.0111004679540612,0.25,1,2
"939",979,500,455.65306122449,319.897959183673,0.45,64,5,455.841924716553,17.8195681717311,-0.0883161505668933,0.433980728980525,-0.975645833569133,5,7,0.00204580477577607,0,1.14285714285714,0.989420168922356,0.0110744325871308,0.25,1,3
"940",980,500,454.08,320,0.45,64,5,454.264482666667,20.9022636729887,-0.0914710346666667,0.428708968613327,-0.979489830607805,5,7,0.00202095345907983,0,1.16,0.989409685103631,0.0110715803692979,0.25,1,4
"941",981,500,458.48,319.14,0.45,64,5,458.660043111111,16.927765743137,-0.0826799137777778,0.424233318974985,-0.974938611189904,5,7,0.00199985504434992,0,1.12,0.989373054447339,0.0111225541530346,0.25,2,1
"942",982,500,458.72,320,0.45,64,5,458.886478222222,15.0320207373402,-0.0822270435555556,0.407846074347606,-0.972868180434684,5,7,0.00192260483234337,0,1.04,0.989268406035522,0.0111684479386861,0.25,2,2
"943",983,500,454.22,320,0.45,64,5,454.403573333333,19.259334156957,-0.0911928533333333,0.428396950078155,-0.977756398711042,5,7,0.00201948258959932,0,1.14,0.989362082223352,0.0111013444053602,0.25,2,3
