"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion"
"583",582,100,47.66,384.66,0.15,49,4,48.1831506666667,7.28081293308631,-0.518168493333333,0.750491479828832,-0.896922021383304,10,8,0.00353785076406463,0
"584",583,100,54.74,384.7,0.15,49,5,55.1896093333333,7.62729896570348,-0.448103906666667,0.690588982829282,-0.909458251743566,10,8,0.00325546768514204,0
"585",584,100,60.2,384.66,0.15,49,6,60.6491915555556,8.44935289077646,-0.393508084444444,0.690445442301383,-0.91828422232724,10,8,0.00325479102860436,0
"586",585,100,39.86,463.76,0.15,49,3,40.4005506666667,7.46628566335623,-0.595994493333333,0.771136223975225,-0.896717556929293,12,8,0.00363517102127647,0
"587",586,100,47.32,459.94,0.15,49,4,47.8360413333333,8.81226986566551,-0.521639586666667,0.747194616432039,-0.915209744161006,12,8,0.00352230920096784,0
"588",587,100,55.38,463.24,0.15,49,5,55.8249097777778,8.78388538484006,-0.441750902222222,0.686314323068022,-0.921866657748914,12,8,0.00323531674577903,0
"589",588,100,61.76,461.28,0.15,49,6,62.1710497777778,9.1146774540678,-0.378289502222222,0.657919570938044,-0.927817569600949,12,8,0.0031014626005709,0
"590",589,100,37.8,538.1,0.15,49,3,38.3593395555556,6.58464978058524,-0.616406604444444,0.785682338393211,-0.880679707414389,14,8,0.00370374206224229,0
"591",590,100,47.76,537.8,0.15,49,4,48.2360302222222,8.02472988051456,-0.517639697777778,0.713189384592929,-0.911126057174251,14,8,0.00336200700077281,0
"592",591,100,57.14,536.38,0.15,49,5,57.5970266666667,8.19672442515361,-0.424029733333333,0.699247342178798,-0.914691856660084,14,8,0.00329628358254199,0
"593",592,100,64.26,538.1,0.15,49,6,64.677128,8.96626826420053,-0.35322872,0.664286163748104,-0.925912749409876,14,8,0.00313147500689788,0
"594",593,100,41.26,307.9,0.15,49,3,41.7677964444444,8.49166415562162,-0.582322035555556,0.743219039027773,-0.912476632918207,8,10,0.00350356814935658,0
"595",594,100,48.64,306.74,0.15,49,4,49.1043995555556,7.3679663939484,-0.508956004444444,0.706531416844184,-0.904107676519197,8,10,0.00333062103981241,0
"596",595,100,56.26,310.34,0.15,49,5,56.6914373333333,8.70614220311271,-0.433085626666667,0.677217331630369,-0.922213844452455,8,10,0.00319243311688595,0
"597",596,100,66.4,309.08,0.15,49,6,66.7964644444444,8.4512969055563,-0.332035355555556,0.646152941075773,-0.923543930795881,8,10,0.0030459941754554,0
"598",597,100,39.16,386.98,0.15,49,3,39.6587217777778,8.30472354742518,-0.603412782222222,0.732601580263491,-0.911784952734444,10,10,0.00345351696874864,0
"599",598,100,49.2,385.9,0.15,49,4,49.7067835555556,8.4929587334111,-0.502932164444444,0.735900882052168,-0.913351647505698,10,10,0.003469070026535,0
"600",599,100,57.78,383.96,0.15,49,5,58.2085186666667,7.3818517920151,-0.417914813333333,0.673260801227441,-0.908795134310919,10,10,0.00317378185370008,0
"601",600,100,64.68,382.58,0.15,49,6,65.0783311111111,9.8349378736466,-0.349216688888889,0.649305280804025,-0.9339797272595,10,10,0.00306085444744508,0
"602",601,100,38.32,462.94,0.15,49,3,38.8719946666667,6.90435745837636,-0.611280053333333,0.779235608369179,-0.887138576896274,12,10,0.00367335188546581,0
"603",602,100,52.12,463.96,0.15,49,4,52.5725066666667,8.24687352610831,-0.474274933333333,0.690978271624923,-0.916213305631838,12,10,0.00325730281012362,0
"604",603,100,55.78,461.94,0.15,49,5,56.2415057777778,9.44988190663426,-0.437584942222222,0.699582058018427,-0.925969227453807,12,10,0.0032978614481418,0
"605",604,100,63.92,459.7,0.15,49,6,64.3300515555556,8.43745928154254,-0.356699484444444,0.655389805992402,-0.922323796284729,12,10,0.00308953717425176,0
"606",605,100,41.76,537.92,0.15,49,3,42.3001888888889,7.03486418710127,-0.576998111111111,0.765716628320194,-0.891154028286123,14,10,0.00360962280235006,0
