"","sim","N_actual","N_mean","N_bias","n_captured","tau","nsites","ntraps","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"87",5,25,25.2960666666667,0.011842666666668,25,0.35,16,3,53,25,27,1,0.584519659649081,0.00275545210049812,4297544
"88",5,25,19.3578888888889,-0.225684444444444,19,0.35,16,3,44,19,21,0,0.671377525725636,0.00316490400784562,4074709
"89",5,25,21.2978666666667,-0.148085333333332,21,0.35,16,3,40,21,23,0,0.590813831572529,0.00278512311149161,1190067
"90",5,25,16.6552,-0.333792,16,0.35,16,3,41,16,19,0,0.922471729817864,0.00434857343738064,9323983
"91",5,25,25.104,0.00415999999999997,25,0.35,16,3,50,25,26,1,0.340959308528487,0.00160729759446113,1058078
"92",5,25,23.1071111111111,-0.075715555555556,23,0.35,16,3,40,23,24,0,0.356397140011154,0.00168007222998252,8879564
"93",5,25,20.3104,-0.187584,20,0.35,16,3,44,20,22,0,0.610695518769226,0.00287884628374638,999061
"94",5,25,23.1155111111111,-0.075379555555556,23,0.35,16,3,49,23,24,0,0.356890914412832,0.00168239990483454,3813591
"95",5,25,24.1565111111111,-0.033739555555556,24,0.35,16,3,47,24,25,1,0.419228603696164,0.00197626259027284,6241596
"96",5,25,19.5277333333333,-0.218890666666668,19,0.35,16,3,45,19,22,0,0.819458633115674,0.00386296504251968,3291051
"97",5,25,24.2147555555556,-0.0314097777777759,24,0.35,16,3,52,24,26,1,0.50285529561052,0.0023704825965451,3881889
"98",5,25,15.4077333333333,-0.383690666666668,15,0.35,16,3,49,15,17,0,0.707851363141417,0.00333684332632958,2133367
"99",5,25,19.2083111111111,-0.231667555555556,19,0.35,16,3,50,19,21,0,0.497539260087076,0.00234542256476073,7532667
"100",5,25,25.0129555555556,0.000518222222223983,25,0.35,16,3,49,25,25,1,0.117138155133017,0.000552194558868252,596091
"101",6,25,23.1918444444444,-0.072326222222224,23,0.55,16,3,31,23,24,0,0.470673948127731,0.00221877826965976,5102357
"102",6,25,25.0069555555556,0.000278222222223974,25,0.55,16,3,39,25,25,1,0.0877914977480657,0.000413853089254538,5725788
"103",6,25,24.0242,-0.039032,24,0.55,16,3,39,24,24,0,0.161704280729045,0.000762281289669341,4317045
"104",6,25,25.0012222222222,0.0000488888888880012,25,0.55,16,3,33,25,25,1,0.0349393119989824,0.000164705496296487,1620096
"105",6,25,24.0354666666667,-0.038581333333332,24,0.55,16,3,34,24,25,1,0.195472840377226,0.000921467806456881,9209440
"106",6,25,25.0446444444444,0.00178577777777605,25,0.55,16,3,37,25,26,1,0.229073582832022,0.00107986322540814,329055
"107",6,25,25.0028222222222,0.000112888888887994,25,0.55,16,3,38,25,25,1,0.0534674223851484,0.000252047846274026,9408661
"108",6,25,24.0939111111111,-0.036243555555556,24,0.55,16,3,28,24,25,1,0.327998618816143,0.00154620031723144,9472892
"109",6,25,24.1451111111111,-0.034195555555556,24,0.55,16,3,28,24,25,1,0.413349335768665,0.00194854745547319,6755184
"110",6,25,25.0386222222222,0.00154488888888807,25,0.55,16,3,37,25,26,1,0.207467139052138,0.000978009472647595,4442238
"111",6,25,23.1545555555556,-0.073817777777776,23,0.55,16,3,42,23,24,0,0.427765488567544,0.00201650585149124,7768022
"112",6,25,25.1256888888889,0.00502755555555595,25,0.55,16,3,34,25,26,1,0.385320995094096,0.00181642059043056,8930724
"113",6,25,25.0403111111111,0.00161244444444407,25,0.55,16,3,26,25,26,1,0.208215646663633,0.000981537971366645,1656226
"114",6,25,25.0417555555556,0.001670222222224,25,0.55,16,3,29,25,26,1,0.212424440697503,0.00100137841671309,993712
"115",6,25,24.1570222222222,-0.033719111111112,24,0.55,16,3,28,24,25,1,0.426840151456482,0.00201214377051714,6197504
"116",6,25,25.0191555555556,0.000766222222223973,25,0.55,16,3,32,25,25,1,0.146022010025774,0.000688354356611431,225222
"117",6,25,24.0589555555556,-0.037641777777776,24,0.55,16,3,33,24,25,1,0.252747339466323,0.0011914623844233,1772019
