"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"203",5,10,10.6027111111111,10,0.55,17,10,14,1,1.04141307617892,0.00490926832121637,9758469
"204",5,10,10.9499111111111,10,0.55,13,10,15,1,1.3707660359892,0.00646185306312112,1861174
"205",5,10,10.3122,10,0.55,16,10,13,1,0.813900958140208,0.00383676591143446,9422374
"206",5,10,11.0077555555556,10,0.55,14,10,14,1,1.33716184770346,0.00630344140036701,581656
"207",5,10,10.9614222222222,10,0.55,12,10,14,1,1.26833782442144,0.00597900184322527,6574402
"208",5,10,10.3202888888889,10,0.55,12,10,13,1,0.811327232191825,0.00382463325096101,6299238
"209",5,10,10.1285777777778,10,0.55,17,10,12,1,0.513686304002673,0.00242154045975296,3241809
"210",5,10,10.7258,10,0.55,20,10,14,1,1.15607557145069,0.00544979250757931,614660
"211",5,10,10.4732,10,0.55,17,10,13,1,0.990450629118424,0.00466902904186747,7570178
"212",5,10,10.8833777777778,10,0.55,16,10,15,1,1.33112933241813,0.00627500385059456,6700221
"213",5,10,10.2222444444444,10,0.55,18,10,12,1,0.717168005127865,0.00338076239783962,5187980
"214",5,10,10.2686444444444,10,0.55,14,10,13,1,0.797440255122903,0.0037591694132569,1367665
"215",5,10,10.2127111111111,10,0.55,16,10,12,1,0.677583752333505,0.00319416044064565,7668499
"216",5,10,10.4142222222222,10,0.55,14,10,14,1,1.03723964491078,0.00488959457754626,6968757
"217",5,10,10.197,10,0.55,19,10,12,1,0.670638911893397,0.00316142214884926,1684767
"218",5,10,10.4782,10,0.55,14,10,13,1,0.892056425278953,0.00420519431677186,9027816
"219",5,10,10.3710888888889,10,0.55,15,10,13,1,0.903782218933838,0.00426047023815961,1952216
"220",5,10,10.7068666666667,10,0.55,25,10,14,1,1.19306981834995,0.00562418505989502,7217202
"221",5,10,10.3386888888889,10,0.55,15,10,13,1,0.912358056438462,0.0043008971238521,7140645
"222",5,10,10.4166666666667,9,0.55,18,9,14,1,1.43322134541912,0.00675627021524779,6529991
"223",5,10,10.2313777777778,10,0.55,24,10,12,1,0.696616901777371,0.00328388356757295,286047
"224",5,10,10.4444888888889,10,0.55,14,10,13,1,0.879395077187169,0.0041455081494741,2298729
"225",5,10,10.0916,10,0.55,19,10,11,1,0.403611135788148,0.00190264114052136,906653
"226",5,10,10.8225333333333,10,0.55,25,10,15,1,1.3656957227794,0.00643795137743183,6235241
"227",5,10,11.4059555555556,10,0.55,13,10,15,1,1.56705285712291,0.00738715801166242,1437881
"228",5,10,10.1408666666667,10,0.55,13,10,12,1,0.512256632880606,0.0024148009254511,449507
"229",5,10,10.2966888888889,10,0.55,15,10,13,1,0.738293102307228,0.00348034706096463,7713002
"230",5,10,10.391,10,0.55,11,10,13,1,0.912434929643398,0.00430125950761545,7297937
"231",5,10,10.1808,10,0.55,11,10,12,1,0.661134518147086,0.00311661800705537,6541215
"232",5,10,10.8022,10,0.55,14,10,14,1,1.23533088902803,0.00582340565760618,8493134
"233",5,10,10.2114666666667,10,0.55,17,10,12,1,0.64370624006993,0.00303446031630362,3232084
"234",5,10,10.4611333333333,10,0.55,12,10,14,1,1.10567470318202,0.00521220053604287,5464199
"235",5,10,11.1153555555556,10,0.55,21,10,15,1,1.35877424810066,0.00640532323289087,7903167
"236",5,10,10.6033777777778,10,0.55,19,10,14,1,1.05407355476885,0.00496895038964308,606026
"237",5,10,10.3449777777778,10,0.55,15,10,13,1,0.961358866843625,0.00453188915932628,6937960
"238",5,10,10.6038444444444,10,0.55,13,10,14,1,1.13711162291868,0.00536039559687893,9794436
"239",5,10,10.2644444444444,10,0.55,13,10,13,1,0.787481657472053,0.00371222413372341,9705246
"240",5,10,10.4629333333333,10,0.55,16,10,14,1,1.15658030876479,0.0054521718620961,7418496
"241",5,10,10.4341111111111,10,0.55,15,10,13,1,0.918373959841518,0.00432925636446053,1064134
"242",5,10,10.3249111111111,10,0.55,12,10,13,1,0.907491024558053,0.00427795371553951,1497066
"243",5,10,10.1868222222222,10,0.55,15,10,12,1,0.648533493925942,0.00305721620921092,8264619
"244",5,10,10.3738666666667,10,0.55,24,10,13,1,0.905819306344823,0.00427007316030746,4579804
"245",5,10,10.5262222222222,10,0.55,20,10,14,1,1.16216663950548,0.00547850607775405,8303737
"246",5,10,10.3942,10,0.55,20,10,13,1,0.914611304372131,0.00431151903647605,8576608
"247",5,10,10.3548666666667,10,0.55,17,10,13,1,0.883212749816907,0.00416350483083969,4018998
"248",5,10,10.2317333333333,10,0.55,16,10,13,1,0.73671987072078,0.0034729307761436,8415198
"249",5,10,10.3150444444444,10,0.55,14,10,13,1,0.885229393273478,0.00417301137926219,5091729
"250",5,10,10.3162222222222,10,0.55,19,10,13,1,0.881752488138481,0.00415662109127221,4439365
"251",6,25,19.6544222222222,19,0.15,70,19,22,0,0.947391946688714,0.00446604846630076,6184592
"252",6,25,16.863,16,0.15,78,16,20,0,1.11388844192526,0.00525092047180447,5846550
"253",6,25,9.3578,8,0.15,68,8,13,0,1.42598188880775,0.00672214308950107,9947804
"254",6,25,11.3283555555556,10,0.15,70,10,15,0,1.47886146404246,0.00697141979773258,3982739
"255",6,25,18.4797555555556,17,0.15,76,17,22,0,1.42423145549022,0.00671389146770878,6874672
"256",6,25,19.5417111111111,19,0.15,65,19,22,0,0.863693029445758,0.00407148798656432,5993650
"257",6,25,12.4807333333333,12,0.15,72,12,15,0,0.849209003928981,0.00400320963548571,3941190
"258",6,25,14.0593111111111,13,0.15,74,13,17,0,1.28844746145037,0.00607379958129432,4283480
"259",6,25,9.53144444444444,8,0.15,77,8,13,0,1.48203840517748,0.00698639604186595,3298292
"260",6,25,18.8886444444444,18,0.15,74,18,22,0,1.12522850469779,0.0053043780403747,4328984
"261",6,25,17.3027777777778,16,0.15,63,16,21,0,1.35300064374231,0.00637810620093301,1135152
"262",6,25,14.9526888888889,14,0.15,70,14,18,0,1.1795636294344,0.00556051627476053,676495
"263",6,25,14.4062222222222,14,0.15,70,14,17,0,0.781577729716918,0.00368439275138146,7918450
"264",6,25,17.7572666666667,17,0.15,79,17,20,0,1.03164042058114,0.0048631995809271,5544250
"265",6,25,14.7819555555556,14,0.15,70,14,18,0,1.06901502644296,0.00503938516258755,3363195
"266",6,25,21.8602666666667,21,0.15,62,21,25,1,1.08575151297101,0.00511828171670238,7868910
"267",6,25,19.0721777777778,18,0.15,69,18,22,0,1.23730080319177,0.00583269192202977,1705345
"268",6,25,16.0559555555556,15,0.15,80,15,19,0,1.24286987462831,0.00585894477654767,8105744
"269",6,25,19.7836666666667,19,0.15,77,19,23,0,1.05430447381646,0.00497003895247291,4999205
"270",6,25,20.0215777777778,19,0.15,73,19,23,0,1.18268476800351,0.00557522946307547,1981529
"271",6,25,19.8256888888889,19,0.15,75,19,23,0,1.09229520585744,0.00514912898079566,7710601
"272",6,25,9.57075555555556,9,0.15,67,9,12,0,0.961337476653752,0.00453178832500422,2991586
"273",6,25,11.0791555555556,10,0.15,68,10,14,0,1.27618943709249,0.00601601470031163,6505872
"274",6,25,16.8525111111111,16,0.15,71,16,20,0,1.09389531137731,0.00515667195055377,7609110
"275",6,25,18.0874666666667,17,0.15,63,17,21,0,1.25201436573203,0.00590205232101395,260756
"276",6,25,15.2737777777778,14,0.15,67,14,19,0,1.37899286436876,0.00650063470402006,7750357
"277",6,25,19.7589333333333,19,0.15,65,19,23,0,1.05499891335075,0.00497331257183171,4765550
